ticker,date,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume
A,4/4/01,28.71,29.4,27.76,28.09,2052600,0,1,18.53546546,18.98093641,17.92213588,18.13518721,2052600
A,4/5/01,28.75,31.2,28.71,30.62,2396600,0,1,18.56119573,20.14293241,18.53537146,19.76848046,2396600
A,4/6/01,26,27.9,25,27.8,5268200,0,1,16.78319235,18.0096564,16.13768495,17.94510566,5268200
A,4/9/01,27.52,28.26,27.03,27.6,2070200,0,1,17.76673714,18.24447644,17.45039626,17.81838463,2070200
A,4/10/01,28.2,30.48,27.86,29.85,2123700,0,1,18.2035359,19.67531115,17.98406065,19.26863641,2123700
A,4/11/01,31.25,32.6,31,31.68,2382700,0,1,20.17377487,21.04528194,20.01238467,20.45136601,2382700
A,4/12/01,31,34.5,30.01,33.96,2387400,0,1,20.01192216,22.27133272,19.37283174,21.92273795,2387400
A,4/16/01,33.2,33.55,32.32,33.32,1555000,0,1,21.42991705,21.65583485,20.86189515,21.50737458,1555000
A,4/17/01,32.25,33.97,31.77,33.33,1290100,0,1,20.81727789,21.92753271,20.50743933,21.51441464,1290100
A,4/18/01,34.5,38.88,34.2,37.99,3571800,0,1,22.26791015,25.09496657,22.07427615,24.52051904,3571800
A,4/19/01,37.39,40.5,37.39,38.99,2779900,0,1,24.13539776,26.14291546,24.13539776,25.16820429,2779900
A,4/20/01,38.98,41,38.51,40.4,2551700,0,1,25.15982593,26.46364451,24.8564622,26.07637167,2551700
A,4/23/01,39.5,40,38.22,40,2052900,0,1,25.50014299,25.82292961,24.67380924,25.82292961,2052900
A,4/24/01,38.9,39.25,36.5,37.22,1933000,0,1,25.11225457,25.3382003,23.56291238,24.02771504,1933000
A,4/25/01,37,39,36.53,38.83,1668300,0,1,23.88144031,25.17232897,23.57808147,25.06260344,1668300
A,4/26/01,38.25,40.97,38,38.01,2125200,0,1,24.68951375,26.4452125,24.52814438,24.53459915,2125200
A,4/27/01,39.4,40.2,38.25,38.79,1225700,0,1,25.43527818,25.95173053,24.69287793,25.04148327,1225700
A,4/30/01,39.4,40.25,38.84,39.01,1208900,0,1,25.4340427,25.98274667,25.07254362,25.18228441,1208900
A,5/1/01,37.9,39.45,37.54,39.2,1532500,0,1,24.46286959,25.46332996,24.2305046,25.30196538,1532500
A,5/2/01,39.9,40.45,39.21,39.72,1288400,0,1,25.75608097,26.11111467,25.31067506,25.63988812,1288400
A,5/3/01,39.25,39.25,37.88,38.45,1188600,0,1,25.33971986,25.33971986,24.45525066,24.82324149,1188600
A,5/4/01,38.2,39.1,37.1,38.37,1786500,0,1,24.65719009,25.23811865,23.94716629,24.76692104,1786500
A,5/7/01,37.6,39.09,37.4,38.74,1478300,0,1,24.27042437,25.23220448,24.14132637,25.00628298,1478300
A,5/8/01,38.9,39.6,37.83,38.42,1145400,0,1,25.11198645,25.5638731,24.42124544,24.80212132,1145400
A,5/9/01,37.9,39.94,37.5,39,1800700,0,1,24.46517336,25.78203229,24.20696572,25.17524435,1800700
A,5/10/01,40,41.18,39.06,39.21,1765500,0,1,25.81892929,26.58058771,25.21218445,25.30900544,1765500
A,5/11/01,39.3,40.38,39.3,39.69,1473400,0,1,25.36703403,26.06414336,25.36703403,25.61876795,1473400
A,5/14/01,39.82,39.83,38.02,38.75,1249700,0,1,25.70401351,25.71046856,24.54210431,25.01332304,1249700
A,5/15/01,37.85,38.88,37,37.45,1693300,0,1,24.43377313,25.09868162,23.88506224,24.17555624,1693300
A,5/16/01,36.46,38.5,35.5,38.5,2288300,0,1,23.53460018,24.85140172,22.91492886,24.85140172,2288300
A,5/17/01,38,39.5,37.52,38.72,2139900,0,1,24.52747182,25.4956615,24.21765112,24.99220287,2139900
A,5/18/01,38,38.95,35.7,36,6660100,0,1,24.53029689,25.14355432,23.0455684,23.23922864,6660100
A,5/21/01,36,38.3,35.7,38,4515700,0,1,23.23663493,24.72119772,23.04299631,24.52755909,4515700
A,5/22/01,38.75,39.8,37.83,39.25,2514100,0,1,25.01439922,25.69220875,24.42050897,25.33716567,2514100
A,5/23/01,38.35,38.44,37.5,37.93,2492000,0,1,24.7564454,24.81454397,24.2077367,24.48531875,2492000
A,5/24/01,37.93,38.1,36.3,36.3,1964900,0,1,24.48137011,24.59109416,23.42931018,23.42931018,1964900
A,5/25/01,36.8,38.5,36.8,37.69,1471800,0,1,23.75590607,24.85332564,23.75590607,24.33043749,1471800
A,5/29/01,37.65,37.65,35.54,35.95,1590400,0,1,24.30129812,24.30129812,22.9393927,23.20402835,1590400
A,5/30/01,34.1,34.8,32.72,32.87,2537500,0,1,22.01274017,22.4646146,21.121902,21.21873224,2537500
A,5/31/01,33,34,32.25,33.54,3306700,0,1,21.29963622,21.94507974,20.81555358,21.64817572,3306700
A,6/1/01,34.5,34.75,32.16,33.97,1709300,0,1,22.27192644,22.43331721,20.76130882,21.92977801,1709300
A,6/4/01,34,34.19,33.3,33.5,1579000,0,1,21.94984742,22.07250834,21.4979388,21.62705555,1579000
A,6/5/01,33.5,34.35,33.5,34.1,2352500,0,1,21.62691103,22.17565355,21.62691103,22.01425869,2352500
A,6/6/01,34.1,34.9,33.52,34.27,1434900,0,1,22.01013162,22.52649835,21.63576575,22.11985955,1434900
A,6/7/01,33.5,36.45,33.5,35.84,2095300,0,1,21.62322909,23.52736419,21.62322909,23.13362778,2095300
A,6/8/01,35.24,35.7,34.85,35.01,941100,0,1,22.747046,23.04397111,22.49530513,22.59858344,941100
A,6/11/01,34.4,35,33.16,33.77,2280700,0,1,22.20263495,22.58989021,21.40230741,21.79601692,2280700
A,6/12/01,33.02,33.65,32.1,33.3,2057000,0,1,21.31257007,21.71919996,20.71876133,21.49329446,2057000
A,6/13/01,33.5,33.93,32.64,32.64,1136400,0,1,21.6260677,21.90365603,21.07089104,21.07089104,1136400
A,6/14/01,32.15,32.16,30.35,31.1,2383500,0,1,20.75612578,20.76258181,19.59404098,20.07824298,2383500
A,6/15/01,30.02,30.96,29,30.46,2862400,0,1,19.37884589,19.98564519,18.72040409,19.66287961,2862400
A,6/18/01,30.3,31.07,29.28,30,1783000,0,1,19.56086918,20.05796057,18.90238447,19.36719721,1783000
A,6/19/01,30.5,30.68,29,29.32,2357900,0,1,19.68526756,19.80144291,18.71713965,18.92367361,2357900
A,6/20/01,29.32,29.4,27.25,28.42,3309100,0,1,18.92737942,18.97902302,17.59110127,18.34638892,3309100
A,6/21/01,28.75,29.65,28.32,29.58,2232200,0,1,18.55690519,19.13781701,18.27935844,19.09263498,2232200
A,6/22/01,29,30.36,28.76,29.4,2458300,0,1,18.72176285,19.59974897,18.56682413,18.97999406,2458300
A,6/25/01,29.45,29.95,29.2,29.65,1656600,0,1,19.01279622,19.33559412,18.85139727,19.14191538,1656600
A,6/26/01,29.3,29.95,28.48,29.2,2509000,0,1,18.91077487,19.33029718,18.38153134,18.84623298,2509000
A,6/27/01,28.45,30.5,28.45,29.85,2418000,0,1,18.36491477,19.68822145,18.36491477,19.26863641,2418000
